created_at,text,url,replies,retweets,favorites,user
4/24/17 19:48,RT @ObamaFoundation: Its a beautiful day on the South Side. https://t.co/PtoaFbww0s,https://twitter.com/BarackObama/status/856595671796895745,3135,12070,59829,BarackObama
3/23/17 13:00,My heart goes out to the victims and their families in London. No act of terror can shake the strength and resilience of our British ally.,https://twitter.com/BarackObama/status/844896595179180034,16525,145851,824879,BarackObama
3/19/17 15:51,"Chuck Berry rolled over everyone who came before him  and turned up everyone who came after.  We'll miss you, Chuck.  Be good.",https://twitter.com/BarackObama/status/843490091519623169,8751,68251,408068,BarackObama
3/8/17 21:14,"On International Womens Day, @MichelleObama and I are inspired by all of you who embrace your power to drive chang_ https://t.co/Er9mIQlmgr",https://twitter.com/BarackObama/status/839585255703080968,7915,52500,276941,BarackObama
3/2/17 19:00,RT @ObamaFoundation: Courage comes in many forms. Who in your local community or neighborhood leads by example? #ProfileInCourage https://t_,https://twitter.com/BarackObama/status/837376982354694144,3149,6870,35479,BarackObama
3/2/17 15:22,Humbled to be recognized by a family with a legacy of service. Who's your #ProfileInCourage? Tell me about them:_ https://t.co/25Ohhab8Xn,https://twitter.com/BarackObama/status/837322131834875904,5469,18723,106647,BarackObama
2/17/17 19:37,We asked. You answered. https://t.co/mAJvko6VqR,https://twitter.com/BarackObama/status/832675462325243906,7251,27138,119106,BarackObama
2/14/17 15:34,"Happy Valentines Day, @michelleobama! Almost 28 years with you, but it always feels new. https://t.co/O0UhJWoqGN",https://twitter.com/BarackObama/status/831527113211645959,15788,263004,1118302,BarackObama
1/22/17 18:07,I read letters like these every single day. It was one of the best parts of the job  hearing from you. https://t.co/so1luBcszV,https://twitter.com/BarackObama/status/823230505546117120,14820,36145,241247,BarackObama
1/20/17 21:17,RT @ObamaFoundation: Add your voice: https://t.co/mA9MSHmi7o https://t.co/Uf7oEvkZF3,https://twitter.com/BarackObama/status/822553543479541761,5561,50220,164135,BarackObama
1/20/17 21:05,"In the meantime, I want to hear what you're thinking about the road ahead. So share your ideas with me here: https://t.co/GYkEOK8EuT",https://twitter.com/BarackObama/status/822550536469803009,14795,54281,240283,BarackObama
1/20/17 21:04,"Hi everybody! Back to the original handle. Is this thing still on? Michelle and I are off on a quick vacation, then well get back to work.",https://twitter.com/BarackObama/status/822550300942856193,72451,439263,1876877,BarackObama
1/10/17 23:44,"Tonight, President Obama reflects on eight years of progress. Watch the #FarewellAddress at 9 pm ET: https://t.co/ZnwTsg155B #ObamaFarewell",https://twitter.com/BarackObama/status/818966711995088896,6175,13945,76360,BarackObama
11/5/16 16:31,"RT @OFA: ""Thanks to the Affordable Care Act, your coverage is better today than it was before.""Watch the weekly address: https://t.co/Pfk_",https://twitter.com/BarackObama/status/794940142867902465,5601,3954,24773,BarackObama
11/5/16 15:38,"In the weekly address, President Obama discusses what #Obamacare has done to improve health care. https://t.co/VdQlyrSZhx",https://twitter.com/BarackObama/status/794926969829920768,6368,4581,29044,BarackObama
11/4/16 22:16,"Let's keep working to keep our economy on a better, stronger course. https://t.co/bV2BVjyj7a",https://twitter.com/BarackObama/status/794664579834015745,3928,9502,46260,BarackObama
11/4/16 18:25,The landmark #ParisAgreement enters into force todaywe must keep up the momentum to #ActOnClimate. https://t.co/Cyw5Udaoro,https://twitter.com/BarackObama/status/794606453197774849,1288,6150,25260,BarackObama
11/4/16 16:12,"The economy added 161,000 jobs in October, and wages are up 2.8 percent over the past year. https://t.co/pJxjgLnjCt #JobsReport",https://twitter.com/BarackObama/status/794572967258640384,1498,3937,17343,BarackObama
11/3/16 21:02,There are a lot of plans out there. Check your options and lock in the one that's best for you: https://t.co/buFY9ozDz4 #GetCovered,https://twitter.com/BarackObama/status/794283659079520256,745,1503,8769,BarackObama
11/3/16 19:08,"The positive impact of #Obamacare is undeniable, but there's one big factor holding many states back: https://t.co/7XebIdRX34",https://twitter.com/BarackObama/status/794255026570993664,964,1867,11054,BarackObama
